"vehicle_id","year","color","make_name","model_name","kilometer","grade","remarks","net_book_value","purchase_price","sale_price","purchase_date","sale_date","min_bid_price","expected_sale_price","fleet_status"
"1049","2019","White","TOYOTA","Yaris 1.3","131885.0","GRADE_4","Bonnet Painted. Both Side Front Fenders Painted. R.H.S Front Door Painted.","22042.00","41800.00","28250.44","2019-11-17 00:00:00","2023-12-16","20826.0","24000.0","SOLD"
"105","2020","White","NISSAN","URVAN NV350 Wide Bus HR Diesel","162156.0","GRADE_3","R.H.S Door & L.H.S Rear Fender & Trunk Painted-Auction 1125 @ 71933 (with Vat)","40041.00","91724.00","71110.44","2020-03-04 00:00:00","2023-10-30","47199.0","60000.0","SOLD"
"1051","2019","White","TOYOTA","Yaris 1.3","164594.0","COMPLETE","Complete Painted Without Roof","22042.00","41800.00","27166.09","2019-11-17 00:00:00","2023-12-16","17702.0","22000.0","SOLD"
"1052","2019","White","TOYOTA","Yaris 1.3","225700.0","GRADE_2","L.H.S Back Fender & Back Door Painted.","22042.00","41800.00","29166.09","2019-11-17 00:00:00","2023-12-16","20299.0","22000.0","SOLD"
"1056","2021","White","RENAULT","Dokker Van","83195.0","COMPLETE","Returned-Engine sound -Trunk painted","22045.00","37500.00","21400.0","2021-07-07 00:00:00","2023-12-16","20213.0","18000.0","SOLD"
"1058","2021","Grey","CHEVROLET","Tahoe LS 4x4","66689.0","COMPLETE","Hail damaged - Excluded Aauction 1242","94888.00","177770.00","122354.78","2021-03-22 00:00:00","2023-12-27","95818.0","100000.0","SOLD"
"1058","2021","Grey","CHEVROLET","Tahoe LS 4x4","66689.0","COMPLETE","Hail damaged - Excluded Aauction 1242","94888.00","177770.00","122354.78","2021-03-22 00:00:00","2023-12-27","120706.0","140000.0","SOLD"
"106","2021","Grey      ","NISSAN","X-TERRA TITANIUM 4WD.","49915.0","GRADE_0","No Painted","70360.56","100549.99","82250.44","2021-11-29 00:00:00","2023-09-27","70384.99","75000.0","SOLD"
"1060","2019","White","FORD","Explorer 3.5L XLT 4WD","12444.0","GRADE_0","No Painted","42903.00","115005.00","82900.0","2020-05-01 00:00:00","2023-12-18","57503.0","75000.0","SOLD"
"1062","2019","Red","FORD","Explorer 3.5L XLT 4WD","74605.0","GRADE_4","R.H.S Full Painted","42903.00","115005.00","60354.78","2020-05-01 00:00:00","2023-12-18","52055.0","65000.0","SOLD"
